"TransactionId","AccountFrom","AccountTo","Amount","Currency","Timestamp"
"TXN001","NL91ABNA0417164300","NL91ABNA0417164301",100.5,"EUR","2023-05-20T10:30:00Z"
"TXN002","NL55INGB0123456789","NL55INGB0123456790",250.75,"EUR","2023-05-20T11:45:00Z"
"TXN003","NL91ABNA0417164303","NL91ABNA0417164302",50.25,"EUR","2023-05-20T12:15:00Z"
"TXN004","NL18RABO0321123456","NL18RABO0321123457",25,"EUR","2023-05-20T13:20:00Z"
"TXN005","NL38ABNA0123456789","NL38ABNA0123456790",75,"EUR","2023-05-20T14:30:00Z"
"TXN006","NL73INGB0987654321","NL73INGB0987654322",200,"EUR","2023-05-20T15:00:00Z"
"TXN007","NL25RABO0123456789","NL25RABO0123456790",150.25,"EUR","2023-05-20T15:45:00Z"
"TXN008","NL44ABNA0123456789","NL44ABNA0123456790",300,"EUR","2023-05-20T16:00:00Z"
"TXN009","NL81INGB0123456789","NL81INGB0123456790",10,"EUR","2023-05-20T17:15:00Z"
"TXN010","NL60RABO0987654321","NL60RABO0987654322",500,"EUR","2023-05-20T18:00:00Z"
"TXN011","NL10ABNA0123456789","NL10ABNA0123456790",120,"EUR","2023-05-21T09:00:00Z"
"TXN012","NL20INGB0123456789","NL20INGB0123456790",80.5,"EUR","2023-05-21T09:30:00Z"
"TXN013","NL30RABO0123456789","NL30RABO0123456790",35,"EUR","2023-05-21T10:00:00Z"
"TXN014","NL40ABNA0123456789","NL40ABNA0123456790",200,"EUR","2023-05-21T10:45:00Z"
"TXN015","NL50INGB0123456789","NL50INGB0123456790",15.75,"EUR","2023-05-21T11:15:00Z"
"TXN016","NL60RABO0123456789","NL60RABO0123456790",99.99,"EUR","2023-05-21T12:00:00Z"
"TXN017","NL70ABNA0123456789","NL70ABNA0123456790",450,"EUR","2023-05-21T13:00:00Z"
"TXN018","NL80INGB0123456789","NL80INGB0123456790",1.25,"EUR","2023-05-21T13:30:00Z"
"TXN019","NL90RABO0123456789","NL90RABO0123456790",75.5,"EUR","2023-05-21T14:00:00Z"
"TXN020","NL00ABNA0123456789","NL00ABNA0123456790",180,"EUR","2023-05-21T14:45:00Z"
